PC RUNS: 82 minutes, 0 days
WindowsPackageManagerServer.exe: 39 minutes, 0 days
WindowsTerminal.exe: 0 minutes, 0 days
WinStore.App.exe: 37 minutes, 0 days
WMIADAP.exe: 22 minutes, 0 days
WmiApSrv.exe: 230 minutes, 1 days
WMIC.exe: 0 minutes, 0 days
wsl.exe: 421 minutes, 1 days
wslhost.exe: 421 minutes, 1 days
wslrelay.exe: 425 minutes, 1 days
wuapihost.exe: 77 minutes, 0 days
wuaucltcore.exe: 12 minutes, 0 days
XD.exe: 285 minutes, 0 days
XSplit.bp.exe: 677 minutes, 0 days
XSplitVCam.exe: 677 minutes, 0 days
Zoom.exe: 718 minutes, 0 days
zWebview2Agent.exe: 677 minutes, 0 days
